,Code,Title,points_r1_2021,points_r1_2020,points_r1_2019
395,TU919,Advertising and Marketing Communications,228,228,228
396,TU920,Digital Marketing,270,270,270
397,TU921,Digital Marketing Technologies,212,212,212
398,TU922,Marketing,418,418,418
399,TU924,E-Commerce in Retailing,307,307,307
400,TU925,Retail and Services Management,301,301,301
401,TU932,Business (options),,,
402,TU933,Accounting and Finance (campus options),,,
403,TU935,Sports Management and Coaching,300,300,300
404,TU936,Sports Science and Health,410,410,410
405,TU941,Botanical Cuisine,249,249,249
406,TU942,Culinary Arts,212,212,212
407,TU943,Culinary Entrepreneurship,278,278,278
408,TU944,Culinary Science,316,316,316
409,TU951,International Hospitality and Tourism Management,184,184,184
410,TU952,International Hospitality Management,300,300,300
411,TU953,Tourism and Digital Marketing,290,290,290
412,TU954,Event Management,356,356,356
413,TU955,Sports and Leisure Management,217,217,217
414,TU961,Commercial Modern Music (BIMM - assessment/auditio,608,608,608
415,TU962,Drama (Performance  audition),379,379,379
416,TU963,Music (audition),416,416,416
417,TU965,International Business and Languages,356,356,356
418,TU967,Languages and International Tourism,308,308,308
419,TU973,Design - Visual Communication (portfolio),717,717,717
420,TU974,Fine Art (portfolio),709,709,709
421,TU975,Interior Design (portfolio),632,632,632
422,TU976,Photography (portfolio),695,695,695
423,TU978,Creative Industries and Visual Culture,,,
424,TU981,Creative Digital Media,280,280,280
425,TU982,Media Production and Digital Arts,320,320,320
426,TU983,Film and Broadcasting,456,456,456
427,TU984,Game Design,381,381,381
428,TU985,Journalism,322,322,322
429,TU989,Early Childhood Care and Education (campus options,,,
430,TU991,Applied Social Studies in Social Care,325,325,325
431,TU992,Community Development and Youth Work,251,251,251
432,TU995,Early Childhood Education,367,367,367
433,TU996,Social Care,400,400,400
434,TU997,Applied Social Care,310,310,310
435,TR002,Music,435,435,435
436,TR003,History,497,497,497
437,TR004,Law,566,566,566
438,TR005,Philosophy,442,442,442
439,TR006,Psychology,567,567,567
440,TR007,Clinical Speech and Language Studies,529,529,529
441,TR009,Music Education,420,420,420
442,TR015,Philosophy  Political Science  Economics and Socio,589,589,589
443,TR016,Deaf Studies,340,340,340
444,TR018,Law and French,565,565,565
445,TR019,Law and German,543,543,543
446,TR021,Classics  Ancient History and Archaeology,370,370,370
447,TR022,Early and Modern Irish,398,398,398
448,TR023,English Studies,487,487,487
449,TR024,European Studies,544,544,544
450,TR025,Drama and Theatre Studies,564,564,564
451,TR028,Ancient and Medieval History and Culture,342,342,342
452,TR031,Mathematics,531,531,531
453,TR032,Engineering,510,510,510
454,TR033,Computer Science,509,509,509
455,TR034,Management Science and Information Systems Studies,613,613,613
456,TR035,Theoretical Physics,543,543,543
457,TR038,Engineering with Management,532,532,532
458,TR039,Computer Science  Linguistics and a Language,454,454,454
459,TR040,Middle Eastern and European Languages and Cultures,466,466,466
460,TR041,Religion,368,368,368
461,TR042,Film,489,489,489
462,TR043,History of Art and Architecture,393,393,393
463,TR051,Medicine (HPAT required),735,735,735
464,TR052,Dental Science,613,613,613
465,TR053,Physiotherapy,566,566,566
466,TR054,Occupational Therapy,533,533,533
467,TR055,Radiation Therapy,543,543,543
468,TR056,Human Health and Disease,565,565,565
469,TR060,Biological and Biomedical Sciences,543,543,543
470,TR061,Chemical Sciences,517,517,517
471,TR062,Geography and Geoscience,473,473,473
472,TR063,Physical Sciences,498,498,498
473,TR064,Environmental Science and Engineering,,,
474,TR072,Pharmacy,590,590,590
475,TR080,Global Business,589,589,589
476,TR081,Business  Economic and Social Studies (BESS),543,543,543
477,TR084,Social Studies (Social Work),462,462,462
478,TR085,Business Studies and French,540,540,540
479,TR086,Business Studies and German,509,509,509
480,TR087,Business Studies and Russian,474,474,474
481,TR089,Business Studies and Polish,444,444,444
482,TR090,Business Studies and Spanish,531,531,531
483,TR091,General Nursing (Meath and St James`s),429,429,429
484,TR093,General Nursing (Adelaide School of Nursing),430,430,430
485,TR095,Mental Health Nursing,408,408,408
486,TR097,Intellectual Disability Nursing,396,396,396
487,TR911,Children`s and General Nursing (Integrated),511,511,511
488,TR913,Midwifery,478,478,478
489,DN100,Architecture,510,510,510
490,DN120,Landscape Architecture,407,407,407
491,DN130,City Planning and Environmental Policy,407,407,407
492,DN150,Engineering (Common Entry),531,531,531
493,DN200,Science (options),533,533,533
494,DN201,Computer Science (Common Entry),510,510,510
495,DN230,Actuarial and Financial Studies,601,601,601
496,DN240,Sustainability,440,440,440
497,DN250,Agricultural Science (options),456,456,456
498,DN261,Food Science,477,477,477
499,DN262,Human Nutrition,531,531,531
500,DN300,Veterinary Medicine - Undergraduate Entry,589,589,589
501,DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,,,
502,DN310,Veterinary Nursing,478,478,478
503,DN400,Medicine - Undergraduate Entry (HPAT required),737,737,737
504,DN401,Medicine - Graduate Entry (GAMSAT required),,,
505,DN410,Radiography,534,534,534
506,DN411,Radiography - Graduate Entry,,,
507,DN420,Physiotherapy,578,578,578
508,DN425,Health and Performance Science,510,510,510
509,DN430,Sport and Exercise Management,455,455,455
510,DN440,Biomedical  Health and Life Sciences,590,590,590
511,DN450,General Nursing,429,429,429
512,DN451,Children`s and General Nursing (Integrated),509,509,509
513,DN452,Midwifery,489,489,489
514,DN453,Mental Health Nursing,397,397,397
515,DN520,Joint Honours (options),310,310,310
516,DN530,Humanities (options),340,340,340
517,DN541,Modern Languages (options),303,303,303
518,DN600,Law (options),546,546,546
519,DN610,Business and Law,545,545,545
520,DN650,Commerce,521,521,521
521,DN660,Commerce International (options),517,517,517
522,DN670,Economics and Finance,613,613,613
523,DN700,Social Sciences (options),421,421,421
524,DN710,Economics,498,498,498
525,DN720,Psychology,530,530,530
526,DN750,Social Policy and Sociology,378,378,378
527,DK810,Accounting and Finance,305,305,305
528,DK816,Business Studies,300,300,300
529,DK820,Computing in Games Development,311,311,311
530,DK821,Computing in Software Development,302,302,302
531,DK822,Augmented and Virtual Reality,307,307,307
532,DK830,Building Surveying,336,336,336
533,DK831,Architectural Technology,389,389,389
534,DK832,Construction Management,387,387,387
535,DK843,Engineering (Common Entry),340,340,340
