,Code,Title,points_r1_2021,points_r1_2020,points_r1_2019
483,TR091,General Nursing (Meath and St James`s),462,429,393
484,TR093,General Nursing (Adelaide School of Nursing),473,430,378
485,TR095,Mental Health Nursing,442,408,358
486,TR097,Intellectual Disability Nursing,412,396,346
487,TR911,Children`s and General Nursing (Integrated),531,511,476
488,TR913,Midwifery,521,478,423
489,DN100,Architecture,555,510,473
490,DN120,Landscape Architecture,463,407,353
491,DN130,City Planning and Environmental Policy,445,407,367
492,DN150,Engineering (Common Entry),565,531,511
493,DN200,Science (options),577,533,521
494,DN201,Computer Science (Common Entry),554,510,488
495,DN230,Actuarial and Financial Studies,613,601,577
496,DN240,Sustainability,510,440,0
497,DN250,Agricultural Science (options),454,456,420
498,DN261,Food Science,531,477,434
499,DN262,Human Nutrition,566,531,493
500,DN300,Veterinary Medicine - Undergraduate Entry,601,589,567
501,DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,0,0,0
502,DN310,Veterinary Nursing,521,478,441
503,DN400,Medicine - Undergraduate Entry (HPAT required),743,737,735
504,DN401,Medicine - Graduate Entry (GAMSAT required),61,0,59
505,DN410,Radiography,566,534,507
506,DN411,Radiography - Graduate Entry,0,0,0
507,DN420,Physiotherapy,601,578,542
508,DN425,Health and Performance Science,544,510,488
509,DN430,Sport and Exercise Management,484,455,436
510,DN440,Biomedical  Health and Life Sciences,613,590,565
511,DN450,General Nursing,462,429,398
512,DN451,Children`s and General Nursing (Integrated),533,509,462
513,DN452,Midwifery,510,489,409
514,DN453,Mental Health Nursing,442,397,379
515,DN520,Joint Honours (options),381,310,336
516,DN530,Humanities (options),397,340,348
517,DN541,Modern Languages (options),320,303,348
518,DN600,Law (options),576,546,520
519,DN610,Business and Law,573,545,521
520,DN650,Commerce,555,521,498
521,DN660,Commerce International (options),555,517,507
522,DN670,Economics and Finance,625,613,601
523,DN700,Social Sciences (options),475,421,388
524,DN710,Economics,534,498,476
525,DN720,Psychology,566,530,517
526,DN750,Social Policy and Sociology,421,378,330
527,DK810,Accounting and Finance,307,305,306
528,DK816,Business Studies,301,300,300
529,DK820,Computing in Games Development,309,311,307
530,DK821,Computing in Software Development,320,302,301
531,DK822,Augmented and Virtual Reality,320,307,0
532,DK830,Building Surveying,305,336,302
533,DK831,Architectural Technology,368,389,301
534,DK832,Construction Management,358,387,300
535,DK843,Engineering (Common Entry),404,340,303
536,DK844,Mechanical Engineering,336,305,0
537,DK845,Electrical and Electronic Engineering,331,304,0
538,DK846,Civil Engineering,371,391,0
539,DK850,International Tourism Management,303,317,0
540,DK861,Arts,302,302,300
541,DK862,Social Care,322,301,300
542,DK863,Creative Media,336,308,300
543,DK864,Film and Television Production,308,300,300
544,DK865,Audio and Music Production,352,301,301
545,DK870,General Nursing,440,403,392
546,DK872,Intellectual Disability Nursing,367,336,300
547,DK874,Mental Health Nursing,398,356,356
548,DK876,Early Childhood Studies,300,321,305
549,DK877,Midwifery,482,440,398
550,DK880,Health and Physical Activity,301,328,300
551,DK882,Agriculture (Award options),342,310,303
552,DK883,Science (Award options),373,358,300
553,DK884,Sustainable Agriculture,348,0,0
554,DK885,Agri-Food Production,0,0,0
555,DK886,Biopharmaceutical Science,379,301,0
556,DK887,Environmental Science,377,330,0
557,GA181,Accounting,303,309,303
558,GA182,Business,285,287,290
559,GA183,Business Information Systems,298,296,309
560,GA184,Marketing and Sales,300,307,307
561,GA185,Finance and Economics,318,293,307
562,GA186,Business with Entrepreneurship,287,280,297
563,GA187,Rural Enterprise and Agri-Business,291,281,280
564,GA281,Film and Documentary,310,304,287
565,GA282,Heritage Studies,252,220,238
566,GA283,Contemporary Art (portfolio),790,679,260
567,GA284,Design,331,303,309
568,GA285,Education (Art  Design and Graphics),406,0,0
569,GA380,International Hotel Management,218,242,225
570,GA381,International Tourism Management,252,278,261
571,GA382,Culinary and Gastronomic Science,235,206,225
572,GA384,Event Management with Public Relations,230,212,209
573,GA480,Construction Management,302,260,260
574,GA482,Quantity Surveying and Construction Economics,304,288,280
575,GA483,Architectural Technology,281,265,251
576,GA484,Civil Engineering,377,290,270
577,GA580,Software and Electronic Engineering,300,300,301
578,GA680,Mechanical Engineering,400,330,336
579,GA681,Energy Engineering,312,293,281
580,GA682,Biomedical Engineering,331,313,331
581,GA683,Agricultural Engineering,304,309,301
582,GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413,340,346
