HEI Course Code,INSTITUTION and COURSE,EOS,Mid,,
"Technological University Dublin Blanchardstown Campus",BN113,Horticulture,289,321
"Technological University Dublin Blanchardstown Campus",BN114,Accounting and Finance,280,332
"Technological University Dublin Blanchardstown Campus",BN115,Community and Youth Development,250,298
"Technological University Dublin Blanchardstown Campus",BN117,Computer Engineering in Mobile Systems,273,311
"Technological University Dublin Blanchardstown Campus",BN118,Early Childhood Care and Education,290,320
"Technological University Dublin Blanchardstown Campus",BN119,Digital Marketing,270,308
"Technological University Dublin Blanchardstown Campus",BN120,Digital Forensics and Cyber Security,281,326
"Technological University Dublin Blanchardstown Campus",BN121,Mechatronic Engineering,276,340
"Technological University Dublin Blanchardstown Campus",BN123,Design,Technology and Innovation,297,318
"Technological University Dublin Tallaght Campus",TA022,Creative Digital Media,260,318
"Technological University Dublin Tallaght Campus",TA023,Advertising and Marketing Communications,235,299
"Technological University Dublin Tallaght Campus",TA024,Early Childhood Care and Education,217,307
"Technological University Dublin Tallaght Campus",TA025,Social Care Practice,261,297
"Technological University Dublin Tallaght Campus",TA026,International Hospitality and Tourism Management,208,269
"Technological University Dublin Tallaght Campus",TA027,Botanical Cuisine,236,273
"Technological University Dublin Tallaght Campus",TA028,Digital Marketing Technologies,220,313
"Technological University Dublin Tallaght Campus",TA121,Accounting and Finance,202,328
"Technological University Dublin Tallaght Campus",TA122,Management,218,297
"Technological University Dublin Tallaght Campus",TA123,Marketing Management,207,284
"Technological University Dublin Tallaght Campus",TA125,International Business,229,300
"Technological University Dublin Tallaght Campus",TA221,Electronic Engineering,251,321
"Technological University Dublin Tallaght Campus",TA222,Mechanical Engineering,243,302
"Technological University Dublin Tallaght Campus",TA223,Sustainable Energy Engineering,236,305
"Technological University Dublin Tallaght Campus",TA224,Biomedical Design,218,324
"Technological University Dublin Tallaght Campus",TA225,Automation Engineering,235,288
"Technological University Dublin Tallaght Campus",TA226,Engineering Software,243,304
"Technological University Dublin Tallaght Campus",TA321,Pharmaceutical Science,261,298
"Technological University Dublin Tallaght Campus",TA322,Computing,200,294
"Technological University Dublin Tallaght Campus",TA323,Computing with IT Management,243,309
"Technological University Dublin Tallaght Campus",TA326,DNA and Forensic Analysis,300,362
"Technological University Dublin Tallaght Campus",TA327,Sports Science and Health,341,381
"Technological University Dublin Tallaght Campus",TA328,Computing with Language (French/German/Spanish),218,317
"Technological University Dublin Tallaght Campus",TA329,Computing with Data Analytics,218,296, ,
"National College of Art and Design",AD101,First Year Art & Design (Common Entry),# +mat,550
"National College of Art and Design",AD102,Graphic Design and Moving Image Design,# +mat,635
"National College of Art and Design",AD103,Textile & Surface Design and Jewellery & Objects,# +mat,545
"National College of Art and Design",AD202,Education & Design or Fine Art (Second Level Teaching),# +mat,580
"National College of Art and Design",AD204,Fine Art,# +mat,600
"National College of Art and Design",AD211,Fashion Design,# +mat,600
"National College of Art and Design",AD212,Product Design,# +mat,600
"National College of Art and Design",AD215,Visual Culture,300,338
"National College of Art and Design",AD217,Illustration,# +mat,625
"National College of Art and Design",AD222,Interaction Design,# +mat,657, ,
"National College of Ireland (NCI)",NC003,Computing (Degree Award options),261,316
"National College of Ireland (NCI)",NC005,Human Resource Management,297,320
"National College of Ireland (NCI)",NC009,Business,297,339
